,Unnamed: 0,Product,fuel,odometer,paint_color,title_status,transmission,condition,engine_displaement,type,Price,year,City,Brand
205,205,2005 Harley-Davidson Dyna Super Glide Custom FXDC,gas,41308,red,clean,manual,,,,9599,2005,Corpus Christi,Harley Davidson
206,206,2005 Harley-Davidson Ultra Classic w/sidecar SKU:M0204,gas,7235,red,clean,manual,,,,32980,2005,Dallas,Harley Davidson
207,207,2005 Harley-Davidson® FLHRCI - Road King® Classic,,,,,,,,,8850,2005,Corpus Christi,Harley Davidson
208,208,2005 Harley-Davidson® FLHRI - Road King®,,,,,,,,,9850,2005,Dallas,Harley Davidson
209,209,2005 Harley-Davidson® FLHRS - Road King Custom V Twin 1442.1 cc,,,,,,,,,7985,2005,Beaumont,Harley Davidson
210,210,2005 Harley-Davidson® FLHTCUI - Electra Glide,,,,,,,,,6999,2005,Amarillo,Harley Davidson
211,211,2005 Harley-Davidson® FLSTCI - Heritage Softail® Classic,,,,,,,,,7996,2005,Dallas,Harley Davidson
212,212,2005 Harley-Davidson® FLSTFI - Softail® Fat Boy®,,,,,,,,,7990,2005,Dallas,Harley Davidson
213,213,2005 Harley-Davidson® XL1200C - Sportster® Custom 1200,,,,,,,,,4950,2005,Austin,Harley Davidson
214,214,2005 Honda CRF50,gas,1000,,,automatic,,,,1300,2005,Austin,Honda
215,215,2005 Honda Gold Wing California Sidecar Trike,Unknown,24155,silver,clean,manual,,,,23999,2005,Amarillo,Honda
216,216,2005 Honda VTX 1800,gas,20800,green,clean,manual,like new,1800,cruiser,6500,2005,Brownsville,Honda
217,217,2005 Kawasaki Concours ZG1000,gas,22498,,clean,manual,excellent,1000,sport touring,3200,2005,Austin,Kawasaki
218,218,2005 Suzuki 800 Boulavard,gas,14000,blue,clean,manual,excellent,800,cruiser,3500,2005,Houston,Suzuki
219,219,2005 Suzuki Boulevard M50,gas,8850,black,clean,manual,excellent,805,cruiser,1500,2005,Houston,Suzuki
220,220,2005 Suzuki V-Strom 1000 Suzuki V-Strom 1000,Unknown,19404,blue,clean,manual,,,,5999,2005,Amarillo,Suzuki
221,221,2005 Yamaha 1100 Vstar,gas,7868,,clean,manual,excellent,,cruiser,5999,2005,Houston,Yamaha
222,222,2005 Yamaha Road Star 1700,gas,23000,red,clean,manual,excellent,1700,,4500,2005,Austin,Yamaha
223,223,2005 Yamaha Road Star Warrior  -Premium Dealer!,,,,,,,,,4995,2005,Houston,Yamaha
224,224,2005 Yamaha V Star,gas,35485,,,manual,,650,,995,2005,East Texas,Yamaha
225,225,2005 Yamaha V-Star 650,gas,9800,,,manual,,,,3000,2005,Houston,Yamaha
226,226,2005 Yamaha VStar 650 For Sale,gas,6667,,,manual,,,,3500,2005,Dallas,Yamaha
227,227,2005 Yamaha YZFR6 YZFR 6 YZFR-6 YZF R6 YZF-R6  FOR ONLY,gas,16587,,clean,manual,excellent,,standard,5399,2005,Dallas,Yamaha
228,228,2005 harley davidson 883,gas,22000,silver,clean,manual,excellent,883,,3500,2005,Dallas,Harley Davidson
229,229,2005 yamaha r6,gas,8192,,clean,manual,excellent,,sport bike,7000,2005,Dallas,Yamaha
